Année;Cours;Anglais;Nveau.nom;Etablissement;Discipline;nbH.prev.;nbH.prev.Etd;nbH.eff;nbH.eff.etd;Type.H
2008;FEGI;0;FEGI;GI;Economie;;;;42;
2008;Proba et Stat;0;Stat1A;GI;Statistique;;;;30;
2008;GIP;0;GIP;GI;GI;;;;32;
2008;EDT;0;EDT;GI;Stage;;;;8;
2008;IA;0;IA;GI;Stage;;;;9;
2008;PFE;0;PFE tuteur;GI;Stage;;;;3;
2008;Economie de la concurrence et de la firme;0;Eco-IAE;IAE;Economie;;;;36;
2008;Séminaire ESE;1;Séminaire ESE;upmf-ese;Economie;;;;6;
2008;Suivi master pro;0;PFE tuteur;upmf-ese;Stage;;;;3;
2008;Jeux d'entreprise;0;winfirm;CEI;Gestion;;;;40;
2008;P3;0;P3;CEI;GI;;;;10;
2008;Economie;0;Economie-CUFA;CUEFA;Economie;;;;96;
2008;Formation Statistiques;0;Formation Stat;UGA-dsi;Statistique;;;;16;
2009;Imt Septembre;0;PFE;IMT;Stage;;;;4;
2009;Gestion D'Entreprise Et Com,;0;winfirm;Ensimag;Gestion;;;;36;
2009;Projet Professionnel Personnel;0;P3;Ensimag;GI;;;;15;
2009;Principes Et Methodes Stat.;0;PMS;Ensimag;Statistique;;;;45;
2009;Principes Et Methodes Stat.;0;PMS;Ensimag;Statistique;;;;2,25;
2009;Ouverture Aux Dimensions De L Entreprise;0;winfirm;Phelma;Gestion;;;;20;
2009;Ouverture Aux Dimensions De L Entreprise;0;winfirm;Phelma;Gestion;;;;20;
2009;Statistiques Inférentielles;0;Stat1A;GI;Statistique;;;;23,5;
2009;Projet Génie industriel d'un produit;0;GIP;GI;GI;;;;32;
2009;Fondement d'économie pour le génie industriel;0;FEGI;GI;Economie;;;;42;
2009;Fondement d'économie pour le génie industriel;0;FEGI;GI;Economie;;;;4,5;
2009;Etude de terrain;0;EDT;GI;Stage;;;;8;
2009;Pfe Encadrement;0;PFE tuteur;GI;Stage;;;;9;
2009;Stage Ingénieur Adjoint;0;IA;GI;Stage;;;;12;
2009;Advanced economics in industrial engineering;1;AdvEco;GI;Economie;;;;17;
2009;Advanced economics in industrial engineering;1;AdvEco;GI;Economie;;;;10,5;
2009;Logistique de transport et recherche opérationnelle;0;LTRO;GI;Economie;;;;9,38;
2009;Théorie Des Jeux Et Décision;0;AdvEco;GI;Economie;;;;11,3;
2009;Pfe Encadrement;0;PFE tuteur;GI;Stage;;;;3;
2009;Stage Ingénieur Adjoint;0;IA;GI;Stage;;;;3;
2009;Séminaire ESE;1;Séminaire ESE;upmf-ese;Economie;;;;6;
2010;Statistique Décision;0;StatIMT;IMT;Statistique;8;8;8;8;TD
2010;Statistique Décision;0;StatIMT;IMT;Statistique;4;8;4;8;CFC2
2010;Probabilités statistiques;0;;GI;Statistique;16;16;16;16;TD
2010;Communication & Initiation à la Gestion de l'entreprise;0;winfirm;CEI;Gestion;20;20;20;20;TD
